repo_id,commits,label_name,committer_count,committer_time,issues,pull_requests,releases
191247,7777,sandbox,45,22.0,855,156,48.0
191248,2636,sandbox,15,7.0,228,142,4.0
191249,13503,sandbox,36,19.0,11,312,8.0
191250,17954,sandbox,170,78.0,1273,1859,78.0
191251,26609,sandbox,589,331.0,1025,2753,19.0
191252,673,sandbox,5,0.0,18,49,13.0
191253,6661,sandbox,119,47.0,510,836,41.0
191254,2369,sandbox,19,6.0,33,411,9.0
191255,21130,sandbox,44,23.0,247,661,64.0
191256,34628,sandbox,22,1.0,102,131,4.0
191257,1881,sandbox,5,0.0,43,277,2.0
191258,4852,sandbox,34,14.0,239,452,11.0
191259,53418,sandbox,58,20.0,943,5027,107.0
191260,49003,sandbox,236,84.0,2393,5549,102.0
191261,26241,sandbox,104,36.0,1166,1780,101.0
191262,26378,sandbox,80,64.0,850,2139,63.0
191263,153013,sandbox,143,19.0,758,660,23.0
191264,6701,sandbox,25,16.0,111,183,17.0
191265,23230,sandbox,34,7.0,175,1268,100.0
191266,6930,sandbox,93,20.0,448,784,22.0
191267,1033,sandbox,17,13.0,54,254,27.0
191268,24396,sandbox,58,0.0,591,1669,2.0
36656,28629,sandbox,72,19.0,990,1270,35.0
191269,2086,sandbox,92,19.0,174,244,10.0
191178,14821,sandbox,41,24.0,700,1969,44.0
191270,3863,sandbox,47,1.0,298,458,9.0
191179,8611,sandbox,29,12.0,115,130,14.0
191271,1538,sandbox,51,8.0,193,252,1.0
191180,7610,sandbox,55,22.0,516,748,33.0
191272,38881,sandbox,91,36.0,1796,1758,84.0
191181,3846,sandbox,32,12.0,294,446,8.0
191273,81718,sandbox,97,30.0,1017,1786,100.0
191182,95216,sandbox,102,46.0,2002,7737,107.0
191274,69693,sandbox,80,39.0,589,1273,60.0
191183,9586,sandbox,23,9.0,1248,244,6.0
191275,11473,sandbox,26,11.0,164,329,19.0
191184,4580,sandbox,60,29.0,421,598,39.0
191276,16554,sandbox,68,23.0,311,300,49.0
191185,24900,sandbox,494,59.0,2122,2150,54.0
191277,5016,sandbox,65,26.0,456,1082,60.0
191186,33599,sandbox,211,100.0,1414,3345,83.0
191278,101,sandbox,13,5.0,72,30,0.0
191187,15180,sandbox,67,11.0,226,483,32.0
191279,2693,sandbox,42,9.0,723,298,25.0
191188,675,sandbox,82,53.0,62,280,0.0
191280,2888,sandbox,55,8.0,112,409,11.0
191189,7748,sandbox,204,9.0,2155,1462,55.0
191281,14413,sandbox,79,58.0,710,2732,110.0
191190,558548,sandbox,602,273.0,3537,7056,114.0
191282,5630,sandbox,17,15.0,209,544,8.0
191191,76199,sandbox,231,78.0,5421,3629,108.0
191283,16041,sandbox,74,38.0,380,1391,62.0
191192,30819,sandbox,100,44.0,900,2944,88.0
191284,26762,sandbox,119,88.0,633,2035,49.0
191193,8465,sandbox,32,17.0,442,795,3.0
191285,10462,sandbox,42,17.0,710,2190,101.0
191194,12492,sandbox,98,6.0,298,742,19.0
191286,5386,sandbox,108,54.0,709,1284,53.0
191195,1087,sandbox,23,0.0,44,34,4.0
191287,1842,sandbox,63,14.0,298,615,35.0
191196,38040,sandbox,77,44.0,1190,3621,100.0
191197,1157,sandbox,10,6.0,104,474,13.0
191198,45828,sandbox,28,10.0,157,230,14.0
191199,3595,sandbox,16,11.0,70,132,7.0
191200,13395,sandbox,24,21.0,376,769,51.0
191201,36874,sandbox,102,24.0,4017,3406,89.0
191202,15459,sandbox,46,31.0,143,495,30.0
191203,2134,sandbox,17,11.0,288,349,75.0
191204,1349,sandbox,14,6.0,46,132,0.0
191205,972,sandbox,26,21.0,145,212,9.0
191206,7907,sandbox,36,24.0,557,1773,85.0
191207,11201,sandbox,41,28.0,627,1258,75.0
191208,1884,sandbox,40,17.0,224,506,4.0
191209,370,sandbox,32,1.0,126,121,3.0
191210,20556,sandbox,110,53.0,911,2044,29.0
191211,15022,sandbox,223,28.0,1100,2116,82.0
191212,2956,sandbox,44,28.0,230,562,19.0
191213,12560,sandbox,45,21.0,548,1256,102.0
191214,25747,sandbox,62,0.0,698,1111,51.0
191215,11901,sandbox,47,36.0,402,849,30.0
191216,23825,sandbox,49,10.0,439,2021,53.0
191217,14863,sandbox,78,27.0,358,1442,47.0
191218,2403,sandbox,85,11.0,709,555,57.0
191219,12299,sandbox,57,10.0,530,962,26.0
191220,1110,sandbox,12,9.0,15,157,103.0
191221,29482,sandbox,26,2.0,635,924,12.0
191222,49144,sandbox,128,20.0,373,803,23.0
191223,61108,sandbox,98,25.0,1800,2325,100.0
191224,10483,sandbox,88,55.0,574,1122,31.0
191225,10165,sandbox,22,15.0,259,1254,30.0
191226,27567,sandbox,41,14.0,225,849,84.0
191227,23171,sandbox,116,49.0,1493,4679,91.0
191228,21940,sandbox,40,19.0,752,2925,39.0
191229,9304,sandbox,327,190.0,1129,1954,103.0
191230,38653,sandbox,38,31.0,502,921,65.0
191231,7604,sandbox,51,8.0,268,625,11.0
191232,2870,sandbox,30,13.0,1,2,23.0
191233,20353,sandbox,88,34.0,371,897,31.0
191234,5931,sandbox,68,18.0,514,356,81.0
191235,388,sandbox,18,6.0,27,145,52.0
191236,46980,sandbox,75,34.0,255,2300,102.0
191237,8508,sandbox,25,8.0,113,200,8.0
191239,10597,sandbox,26,9.0,237,393,44.0
191240,64437,sandbox,105,32.0,341,1297,13.0
191241,6667,sandbox,120,61.0,692,1305,28.0
191242,3204,sandbox,32,15.0,120,297,15.0
191243,710,sandbox,24,13.0,56,302,16.0
191244,9018,sandbox,126,56.0,455,1150,105.0
191245,6393,sandbox,36,14.0,456,268,98.0
191246,2182,sandbox,16,16.0,180,505,10.0
140424,25116,incubating,216,58.0,2215,4043,111.0
150726,84623,incubating,206,49.0,1413,1967,26.0
191146,213935,incubating,1156,343.0,9352,14989,54.0
191147,27635,incubating,330,63.0,2617,4047,102.0
191148,1963,incubating,190,67.0,386,1155,0.0
191149,907,incubating,129,67.0,1156,700,0.0
191151,65518,incubating,116,43.0,583,938,33.0
191152,79205,incubating,272,52.0,1786,3953,69.0
191153,37975,incubating,114,31.0,3405,6312,60.0
191154,205155,incubating,1444,749.0,5385,17399,107.0
191155,98279,incubating,284,158.0,3259,6495,104.0
191156,34234,incubating,102,58.0,815,2449,36.0
191157,68570,incubating,280,50.0,2086,3345,65.0
191158,115341,incubating,237,23.0,1767,3840,100.0
191159,9940,incubating,195,42.0,1189,1904,76.0
191160,21150,incubating,155,54.0,1573,3398,102.0
191161,15257,incubating,185,44.0,1576,2584,69.0
191163,2538,incubating,99,35.0,6658,1188,104.0
191164,87025,incubating,420,87.0,3270,3375,104.0
191165,18160,incubating,91,4.0,695,1002,9.0
191166,25603,incubating,185,44.0,1450,3016,91.0
191167,17420,incubating,593,145.0,2617,4251,100.0
191168,27222,incubating,130,44.0,813,1281,87.0
191169,1505,incubating,33,2.0,151,117,1.0
191170,274894,incubating,893,173.0,11194,24710,102.0
191171,2344,incubating,125,24.0,470,785,7.0
191172,36026,incubating,440,117.0,3996,5042,68.0
191173,29569,incubating,220,73.0,1968,4266,101.0
191174,38645,incubating,262,91.0,3412,4037,103.0
191175,4206,incubating,42,16.0,161,556,28.0
191176,23787,incubating,200,109.0,2039,3215,92.0
191177,3916,incubating,164,20.0,383,687,20.0
123948,1142461,grads,3891,631.0,44910,78947,155.0
139311,96323,grads,333,81.0,11039,8886,116.0
165414,67209,grads,915,149.0,6504,10819,102.0
165440,36942,grads,338,94.0,3802,7787,104.0
165470,177000,grads,1121,324.0,10871,22297,101.0
165501,210869,grads,1011,243.0,19081,30722,104.0
191124,10673,grads,145,47.0,1266,1546,100.0
191125,82524,grads,620,165.0,2330,7161,103.0
191126,13582,grads,318,84.0,1801,3083,77.0
191128,58417,grads,897,204.0,5486,7901,106.0
191129,12514,grads,88,22.0,846,1735,30.0
191131,145619,grads,404,97.0,3674,11895,104.0
191133,67996,grads,426,133.0,2492,4144,102.0
191134,25941,grads,170,61.0,1373,3653,100.0
191135,48267,grads,403,81.0,4902,11825,102.0
191136,872,grads,48,10.0,61,214,0.0
191137,98718,grads,371,69.0,2237,4183,68.0
191138,22183,grads,701,90.0,7587,5251,101.0
191139,145844,grads,310,92.0,1356,6552,100.0
191140,11195,grads,245,12.0,2079,1955,12.0
191141,185263,grads,760,369.0,9103,22485,107.0
191142,31586,grads,1257,591.0,7384,8467,112.0
191143,45332,grads,337,145.0,2046,2783,36.0
